year,island,month,Totalamount
1998,HAWAI'I ISLAND,Feb,125136.21
1998,HAWAI'I ISLAND,Mar,119166.16
1998,HAWAI'I ISLAND,Apr,104532.11
1998,HAWAI'I ISLAND,May,106871.84
1998,HAWAI'I ISLAND,Jun,107043.36
1998,HAWAI'I ISLAND,Jul,118565.99
1998,HAWAI'I ISLAND,Aug,117961.89
1998,HAWAI'I ISLAND,Sep,100660.75
1998,HAWAI'I ISLAND,Oct,108503.82
1998,HAWAI'I ISLAND,Nov,104021.53
1998,HAWAI'I ISLAND,Dec,115917.22
1999,O'AHU,Jan,355080.39
1999,O'AHU,Feb,376176.43
1999,O'AHU,Mar,392906.08
1999,O'AHU,Apr,345482.26
1999,O'AHU,May,342431.82
1999,O'AHU,Jun,392014.38
1999,O'AHU,Jul,438001.10
1999,O'AHU,Aug,427390.22
1999,O'AHU,Sep,381744.91
1999,O'AHU,Oct,377566.99
1999,O'AHU,Nov,365543.86
1999,O'AHU,Dec,365803.17
1999,MAUI,Jan,179873.40
1999,MAUI,Feb,195615.35
1999,MAUI,Mar,211352.52
1999,MAUI,Apr,187862.61
1999,MAUI,May,177249.04
1999,MAUI,Jun,198092.97
1999,MAUI,Jul,220481.39
1999,MAUI,Aug,211973.35
1999,MAUI,Sep,162943.81
1999,MAUI,Oct,197444.80
1999,MAUI,Nov,174380.08
1999,MAUI,Dec,161664.12
1999,MOLOKA'I,Jan,6183.83
1999,MOLOKA'I,Feb,6625.51
1999,MOLOKA'I,Mar,5579.44
1999,MOLOKA'I,Apr,5515.22
1999,MOLOKA'I,May,4939.54
1999,MOLOKA'I,Jun,6243.59
1999,MOLOKA'I,Jul,5167.04
1999,MOLOKA'I,Aug,5459.84
1999,MOLOKA'I,Sep,4961.95
1999,MOLOKA'I,Oct,7855.63
1999,MOLOKA'I,Nov,5169.54
1999,MOLOKA'I,Dec,5955.62
1999,LĀNA'I,Jan,7275.45
1999,LĀNA'I,Feb,11387.73
1999,LĀNA'I,Mar,8375.24
1999,LĀNA'I,Apr,8563.44
1999,LĀNA'I,May,6430.09
1999,LĀNA'I,Jun,7356.42
1999,LĀNA'I,Jul,8484.76
1999,LĀNA'I,Aug,6340.22
1999,LĀNA'I,Sep,6402.42
1999,LĀNA'I,Oct,10431.86
1999,LĀNA'I,Nov,6880.52
1999,LĀNA'I,Dec,6617.82
1999,KAUA'I,Jan,79862.15
1999,KAUA'I,Feb,87418.17
1999,KAUA'I,Mar,93051.89
1999,KAUA'I,Apr,88834.28
1999,KAUA'I,May,87641.56
1999,KAUA'I,Jun,91201.55
1999,KAUA'I,Jul,105538.42
1999,KAUA'I,Aug,100203.49
1999,KAUA'I,Sep,85030.60
1999,KAUA'I,Oct,107184.62
1999,KAUA'I,Nov,86075.30
1999,KAUA'I,Dec,77246.58
1999,HAWAI'I ISLAND,Jan,107398.27
1999,HAWAI'I ISLAND,Feb,109680.28
1999,HAWAI'I ISLAND,Mar,120691.46
1999,HAWAI'I ISLAND,Apr,104983.34
1999,HAWAI'I ISLAND,May,99275.23
1999,HAWAI'I ISLAND,Jun,107753.65
1999,HAWAI'I ISLAND,Jul,123917.87
1999,HAWAI'I ISLAND,Aug,109661.69
1999,HAWAI'I ISLAND,Sep,94778.24
1999,HAWAI'I ISLAND,Oct,123641.18
1999,HAWAI'I ISLAND,Nov,102176.15
1999,HAWAI'I ISLAND,Dec,103762.43
2000,O'AHU,Jan,353768.28
2000,O'AHU,Feb,391413.19
2000,O'AHU,Mar,414299.60
2000,O'AHU,Apr,374591.41
2000,O'AHU,May,374502.16
2000,O'AHU,Jun,426490.70
