country,year,pop,island,month,Totalamount
any,1993,1,O'AHU,Jun,372663.27
any,1993,1,O'AHU,Jul,423477.14
any,1993,1,O'AHU,Aug,424620.04
any,1993,1,O'AHU,Sep,349246.70
any,1993,1,O'AHU,Oct,342879.76
any,1993,1,O'AHU,Nov,349498.63
any,1993,1,O'AHU,Dec,394027.40
any,1993,1,MAUI CTY,Jan,193906.67
any,1993,1,MAUI CTY,Feb,198747.55
any,1993,1,MAUI CTY,Mar,209679.98
any,1993,1,MAUI CTY,Apr,197191.76
any,1993,1,MAUI CTY,May,174824.04
any,1993,1,MAUI CTY,Jun,184164.38
any,1993,1,MAUI CTY,Jul,193138.98
any,1993,1,MAUI CTY,Aug,198530.34
any,1993,1,MAUI CTY,Sep,173396.45
any,1993,1,MAUI CTY,Oct,194984.40
any,1993,1,MAUI CTY,Nov,175667.37
any,1993,1,MAUI CTY,Dec,168881.93
any,1993,1,MAUI,Jan,186953.00
any,1993,1,MAUI,Feb,193383.58
any,1993,1,MAUI,Mar,204011.00
any,1993,1,MAUI,Apr,193076.49
any,1993,1,MAUI,May,171428.11
any,1993,1,MAUI,Jun,180418.18
any,1993,1,MAUI,Jul,190082.10
any,1993,1,MAUI,Aug,194777.45
any,1993,1,MAUI,Sep,169905.59
any,1993,1,MAUI,Oct,190954.84
any,1993,1,MAUI,Nov,171927.85
any,1993,1,MAUI,Dec,165211.06
any,1993,1,MOLOKA'I,Jan,12681.39
any,1993,1,MOLOKA'I,Feb,9414.75
any,1993,1,MOLOKA'I,Mar,8981.33
any,1993,1,MOLOKA'I,Apr,7508.89
any,1993,1,MOLOKA'I,May,6481.79
any,1993,1,MOLOKA'I,Jun,8414.98
any,1993,1,MOLOKA'I,Jul,7394.94
any,1993,1,MOLOKA'I,Aug,6322.85
any,1993,1,MOLOKA'I,Sep,7808.67
any,1993,1,MOLOKA'I,Oct,6641.56
any,1993,1,MOLOKA'I,Nov,6124.53
any,1993,1,MOLOKA'I,Dec,6403.71
any,1993,1,LĀNA'I,Jan,6947.09
any,1993,1,LĀNA'I,Feb,7129.41
any,1993,1,LĀNA'I,Mar,7232.12
any,1993,1,LĀNA'I,Apr,5983.76
any,1993,1,LĀNA'I,May,5663.75
any,1993,1,LĀNA'I,Jun,6715.22
any,1993,1,LĀNA'I,Jul,5307.92
any,1993,1,LĀNA'I,Aug,5351.36
any,1993,1,LĀNA'I,Sep,6646.19
any,1993,1,LĀNA'I,Oct,5945.09
any,1993,1,LĀNA'I,Nov,5194.45
any,1993,1,LĀNA'I,Dec,4929.55
any,1993,1,KAUA'I,Jan,32160.01
any,1993,1,KAUA'I,Feb,31398.60
any,1993,1,KAUA'I,Mar,43407.53
any,1993,1,KAUA'I,Apr,40840.56
any,1993,1,KAUA'I,May,39504.81
any,1993,1,KAUA'I,Jun,54815.21
any,1993,1,KAUA'I,Jul,55149.50
any,1993,1,KAUA'I,Aug,52074.26
any,1993,1,KAUA'I,Sep,53883.13
any,1993,1,KAUA'I,Oct,57540.52
any,1993,1,KAUA'I,Nov,58885.80
any,1993,1,KAUA'I,Dec,56705.76
any,1993,1,HAWAI'I ISLAND,Jan,111850.90
any,1993,1,HAWAI'I ISLAND,Feb,95260.13
any,1993,1,HAWAI'I ISLAND,Mar,102055.20
any,1993,1,HAWAI'I ISLAND,Apr,92161.04
any,1993,1,HAWAI'I ISLAND,May,85313.55
any,1993,1,HAWAI'I ISLAND,Jun,89757.08
any,1993,1,HAWAI'I ISLAND,Jul,96290.36
any,1993,1,HAWAI'I ISLAND,Aug,95297.36
any,1993,1,HAWAI'I ISLAND,Sep,88068.41
any,1993,1,HAWAI'I ISLAND,Oct,97456.70
any,1993,1,HAWAI'I ISLAND,Nov,84737.49
any,1993,1,HAWAI'I ISLAND,Dec,79407.67
any,1993,1,HILO,Jan,33863.45
any,1993,1,HILO,Feb,28272.07
any,1993,1,HILO,Mar,35320.35
any,1993,1,HILO,Apr,29414.58
any,1993,1,HILO,May,29245.46
any,1993,1,HILO,Jun,31314.05
any,1993,1,HILO,Jul,30019.74
any,1993,1,HILO,Aug,26434.74
any,1993,1,HILO,Sep,28557.18
any,1993,1,HILO,Oct,29605.98
any,1993,1,HILO,Nov,24655.01
any,1993,1,HILO,Dec,25798.28
any,1993,1,KONA,Jan,99268.33
any,1993,1,KONA,Feb,84681.60
any,1993,1,KONA,Mar,88305.87
any,1993,1,KONA,Apr,80002.69
any,1993,1,KONA,May,70768.44
any,1993,1,KONA,Jun,76676.02
any,1993,1,KONA,Jul,83600.70
any,1993,1,KONA,Aug,84115.06
any,1993,1,KONA,Sep,76466.26
any,1993,1,KONA,Oct,86458.02
any,1993,1,KONA,Nov,75618.75
any,1993,1,KONA,Dec,67771.74
any,1994,1,O'AHU,Jan,351456.83
any,1994,1,O'AHU,Feb,378670.95
any,1994,1,O'AHU,Mar,414477.36
any,1994,1,O'AHU,Apr,335845.65
any,1994,1,O'AHU,May,350341.57
any,1994,1,O'AHU,Jun,396776.55
any,1994,1,O'AHU,Jul,425867.78
any,1994,1,O'AHU,Aug,451915.50
any,1994,1,O'AHU,Sep,375036.13
any,1994,1,O'AHU,Oct,354362.51
any,1994,1,O'AHU,Nov,377394.16
any,1994,1,O'AHU,Dec,417591.11
any,1994,1,MAUI CTY,Jan,188980.90
any,1994,1,MAUI CTY,Feb,202338.97
any,1994,1,MAUI CTY,Mar,211682.92
any,1994,1,MAUI CTY,Apr,194176.07
any,1994,1,MAUI CTY,May,180361.75
any,1994,1,MAUI CTY,Jun,198389.26
any,1994,1,MAUI CTY,Jul,210627.46
any,1994,1,MAUI CTY,Aug,216473.41
any,1994,1,MAUI CTY,Sep,168741.48
any,1994,1,MAUI CTY,Oct,182803.90
any,1994,1,MAUI CTY,Nov,194058.96
any,1994,1,MAUI CTY,Dec,191880.89
any,1994,1,MAUI,Jan,183811.59
any,1994,1,MAUI,Feb,196375.76
any,1994,1,MAUI,Mar,207053.45
any,1994,1,MAUI,Apr,190257.76
any,1994,1,MAUI,May,176957.96
any,1994,1,MAUI,Jun,194499.57
any,1994,1,MAUI,Jul,206397.12
any,1994,1,MAUI,Aug,212362.06
any,1994,1,MAUI,Sep,165134.32
any,1994,1,MAUI,Oct,178631.62
any,1994,1,MAUI,Nov,190206.75
any,1994,1,MAUI,Dec,187121.08
any,1994,1,MOLOKA'I,Jan,8124.99
any,1994,1,MOLOKA'I,Feb,8120.36
any,1994,1,MOLOKA'I,Mar,7005.39
any,1994,1,MOLOKA'I,Apr,5793.61
any,1994,1,MOLOKA'I,May,5634.23
any,1994,1,MOLOKA'I,Jun,6414.07
